"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_037: Test post /V5.0/Binder/DownloadBinderPBFX","1186","TC_037: POST /V5.0/Binder/DownloadBinderPBFX","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_110: Test post /V7/TaxCaddyAPI/SendDocumentUploadRequest","1093","TC_110: POST /V7/TaxCaddyAPI/SendDocumentUploadRequest","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_056: Test post /V7/Binder/GetDocuments","1239","TC_056: POST /V7/Binder/GetDocuments","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_038: Test post /V5.0/Binder/GetBinderAuditLog","1305","TC_038: POST /V5.0/Binder/GetBinderAuditLog","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_062: Test post /V5.0/Lookup/TaxSoftwareList","1162","TC_062: POST /V5.0/Lookup/TaxSoftwareList","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_071: Test post /V7/Lookup/BinderTemplates","1181","TC_071: POST /V7/Lookup/BinderTemplates","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_097: Test post /V5.0/TaxCaddyAPI/SendDocumentUploadRequest","1200","TC_097: POST /V5.0/TaxCaddyAPI/SendDocumentUploadRequest","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_086: Test post /V5.0/TaxCaddyAPI/DownloadDocument","1181","TC_086: POST /V5.0/TaxCaddyAPI/DownloadDocument","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_108: Test post /V7/TaxCaddyAPI/UpdateMember","1104","TC_108: POST /V7/TaxCaddyAPI/UpdateMember","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_053: Test post /V5.0/Binder/DownloadDocument","1104","TC_053: POST /V5.0/Binder/DownloadDocument","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_013: Test post /V5.0/BinderInfo/GetDocumentPendingUploadCount","1169","TC_013: POST /V5.0/BinderInfo/GetDocumentPendingUploadCount","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_006: Test post /V5.0/BinderInfo/GetUnreviewedStickyNotes","1043","TC_006: POST /V5.0/BinderInfo/GetUnreviewedStickyNotes","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_095: Test post /V5.0/TaxCaddyAPI/UpdateMember","1391","TC_095: POST /V5.0/TaxCaddyAPI/UpdateMember","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_075: Test post /V7/Lookup/DomainInformation","1211","TC_075: POST /V7/Lookup/DomainInformation","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
